ASIGNATURA,CRÉDITOS,TIPO,CALIFICACIÓN,NOTA,DEF.,AÑO
ADQUISICIÓN Y ALMACENAMIENTO DE DATOS,4.5,OBLIGATORIA,SOBRESALIENTE,9.3,S,2023-24
ALMACENES DE DATOS: DATALAKES,3.0,OBLIGATORIA,SOBRESALIENTE,10.0,S,2023-24
ANÁLISIS DE SERIES TEMPORALES,3.0,OBLIGATORIA,SOBRESALIENTE,10.0,S,2023-24
ANÁLISIS EXPLORATORIO DE DATOS,3.0,OBLIGATORIA,SOBRESALIENTE,9.9,S,2023-24
ARQUITECTURA Y PROCESOS DE BIG DATA,4.5,OBLIGATORIA,SOBRESALIENTE,10.0,S,2023-24
DEEP LEARNING,4.5,OBLIGATORIA,SOBRESALIENTE,9.9,S,2023-24
DESARROLLO DE SERVICIOS EN LA NUBE,4.5,OBLIGATORIA,SOBRESALIENTE,10.0,S,2023-24
DESPLIEGUE DE PROCESOS Y SERVICIOS,3.0,OBLIGATORIA,SOBRESALIENTE,10.0,S,2023-24
FUNDAMENTOS DE MACHINE LEARNING,4.5,OBLIGATORIA,SOBRESALIENTE,9.2,S,2023-24
INTRODUCCIÓN A LA CIENCIA DE DATOS. HERRAMIENTAS BÁSICAS,4.5,OBLIGATORIA,SOBRESALIENTE,10.0,S,2023-24
INTRODUCCIÓN A LA INFORMÁTICA EN LA NUBE,4.5,OBLIGATORIA,SOBRESALIENTE,10.0,S,2023-24
TÉCNICAS AVANZADAS DE MACHINE LEARNING,4.5,OBLIGATORIA,SOBRESALIENTE,9.3,S,2023-24
TEXT MINING REDES SOCIALES Y SISTEMAS DE RECOMENDACIÓN,3.0,OBLIGATORIA,SOBRESALIENTE,9.3,S,2023-24
TRABAJO FIN DE MÁSTER,6.0,OBLIGATORIA,SOBRESALIENTE,9.8,S,2023-24
VISUALIZACIÓN Y BI,3.0,OBLIGATORIA,SOBRESALIENTE,10.0,S,2023-24
