ASIGNATURA,CRÉDITOS,TIPO,CALIFICACIÓN,NOTA,DEF.,AÑO
ÁLGEBRA Y MATEMÁTICA DISCRETA,6.0,FORMACION BASICA,NOTABLE,8.5,S,2017-18
CÁLCULO Y MÉTODOS NUMÉRICOS,6.0,FORMACION BASICA,SOBRESALIENTE,9.0,S,2017-18
ESTRUCTURA DE COMPUTADORES,6.0,FORMACION BASICA,NOTABLE,8.2,S,2017-18
FUNDAMENTOS DE GESTIÓN EMPRESARIAL,6.0,FORMACION BASICA,NOTABLE,7.9,S,2017-18
FUNDAMENTOS DE PROGRAMACION I,6.0,FORMACION BASICA,SOBRESALIENTE,9.0,S,2017-18
FUNDAMENTOS DE PROGRAMACION II,6.0,FORMACION BASICA,SOBRESALIENTE,9.5,S,2017-18
FUNDAMENTOS FÍSICOS DE LA INFORMÁTICA,6.0,FORMACION BASICA,SOBRESALIENTE,9.7,S,2017-18
REDES DE COMPUTADORES,6.0,OBLIGATORIA,SOBRESALIENTE,9.7,S,2017-18
SISTEMAS DE INFORMACIÓN,6.0,OBLIGATORIA,SOBRESALIENTE,9.3,S,2017-18
TECNOLOGÍA DE COMPUTADORES,6.0,FORMACION BASICA,NOTABLE,8.2,S,2017-18
SISTEMAS OPERATIVOS,6.0,OBLIGATORIA,SOBRESALIENTE,9.2,S,2018-19
REDES DE COMPUTADORES II,6.0,OBLIGATORIA,SOBRESALIENTE,9.6,S,2018-19
PROGRAMACIÓN CONCURRENTE Y TIEMPO REAL,6.0,OBLIGATORIA,NOTABLE,8.1,S,2018-19
ORGANIZACIÓN DE COMPUTADORES,6.0,OBLIGATORIA,SOBRESALIENTE,9.0,S,2018-19
METODOLOGÍA DE LA PROGRAMACIÓN,6.0,OBLIGATORIA,NOTABLE,7.8,S,2018-19
LÓGICA,6.0,FORMACIÓN BÁSICA,SOBRESALIENTE,9.0,S,2018-19
INGENIERÍA DEL SOFTWARE I,6.0,OBLIGATORIA,NOTABLE,8.0,S,2018-19
ESTRUCTURA DE DATOS,6.0,OBLIGATORIA,NOTABLE,8.0,S,2018-19
ESTADÍSTICA,6.0,FORMACIÓN BÁSICA,SOBRESALIENTE,9.0,S,2018-19
BASES DE DATOS,6.0,OBLIGATORIA,NOTABLE,8.1,S,2018-19
ARQUITECTURA DE COMPUTADERS,6.0,OBLIGATORIA,NOTABLE,8.6,S,2019-20
ASPECTOS PROFESIONALES DE LA INFORMÁTICA,6.0,OBLIGATORIA,SOBRESALIENTE,9.0,S,2019-20
DISEÑO DE ALGORITMOS,6.0,OBLIGATORIA,NOTABLE,8.6,S,2019-20
INGENIERÍA DEL SOFTWARE II,6.0,OBLIGATORIA,NOTABLE,8.8,S,2019-20
INTERACCIÓN PERSONA-ORDENADOR I,6.0,OBLIGATORIA,NOTABLE,7.8,S,2019-20
PROGRAMACIÓN DECLARATIVA,6.0,OBLIGATORIA,NOTABLE,8.1,S,2019-20
SISTEMAS BASADOS EN EL CONOCIMIENTO,6.0,OBLIGATORIA,NOTABLE,8.6,S,2019-20
SISTEMAS DISTRIBUIDOS,6.0,OBLIGATORIA,SOBRESALIENTE,9.1,S,2019-20
SISTEMAS INTELIGENTES,6.0,OBLIGATORIA,NOTABLE,8.0,S,2019-20
TEORÍA DE AUTÓMATAS Y COMPUTACIÓN,6.0,OBLIGATORIA,APROBADO,6.3,S,2019-20
DISEÑO DE SISTEMAS INTERACTIVOS,6.0,OPTATIVA,SOBRESALIENTE,9.0,S,2020-21
DISPOSITIVOS Y REDES INALÁMBRICOS,6.0,OPTATIVA,NOTABLE,8.7,S,2020-21
INGENIERÍA WEB Y DE SERVICIOS,6.0,OPTATIVA,MATRÍCULA DE HONOR,9.7,S,2020-21
MINERÍA DE DATOS,6.0,OPTATIVA,SOBRESALIENTE,9.0,S,2020-21
PRÁCTICAS EN EMPRESA,12.0,OPTATIVA,SOBRESALIENTE,9.6,S,2020-21
SISTEMAS MULTIAGENTE,6.0,OPTATTIVA,NOTABLE,8.5,S,2020-21
TRABAJO FIN DE GRADO,12.0,TRABAJO FIN DE GRADO,SOBRESALIENTE,10,S,2020-21
